APK,Time_ Androguard ,No_Of_permission,Time_permission,No_Of_Intent,No_Of_ImplicitIntent,No_Of_ExplicitIntent,Time_Intent,No_Of_PendingIntent,No_Of_Filter,Time_filter,No_Of_PermissionIntent,Type_Of_PermissionIntentt,No_Of_PermissionFilter,Type_Of_PermissionFilter,"Danger=1,Normal=0"
air.com.rodin.paris.vusiem,5.119049311,3,0.010292768,2,2,0,0.092842102,0,1,3.771019697,0,[],0,[],0
air.com.rosytales.babyboydailycaring,40.51479578,4,0.045591831,0,0,0,0.061261892,0,2,1.145320654,0,[],0,[],0
air.com.rosytales.rainbowbabyunicornmyfavoritepet,36.41798496,4,0.056046963,0,0,0,0.060456038,0,2,2.017131329,0,[],0,[],0
air.com.ru_pro.heroesland,27.2933135,8,0.061817408,0,0,0,0.072188854,0,1,0.177818537,0,[],0,[],0
air.com.sarah.para17,54.31695819,9,0.157108068,5,4,1,0.160623789,0,1,0.267439365,0,[],0,[],0
air.com.spilgames.TrollFaceQuestHorror,96.26007581,10,0.328518867,13,11,2,1.9151752,1,4,5.647015095,0,[],0,[],0
air.com.spilgames.TrollFaceQuestHorror75B4812813A9E5DF7C358B817E708D37083C020C,103.4175186,10,0.330430508,13,11,2,4.853582859,1,4,0.413513184,0,[],0,[],0
air.com.virandi.FidgetSpinner,21.3665061,6,0.065756798,0,0,0,0.05753684,0,1,0.106759071,0,[],0,[],0
air.com.vithita.PangPondFastMath,2.298209429,2,0,0,0,0,0,0,1,0.080385923,0,[],0,[],0
air.com.vstgames.idlecaveheroes.AndroidMain,64.6843276,5,0.100616693,3,2,1,0.352093935,0,2,4.81478548,0,[],0,[],0
air.com.wowsomesphere.milkshakecookinganddecoration,28.21145248,4,0.035485506,0,0,0,0.052061319,0,2,0.171813488,0,[],0,[],0
air.de.fahren_lernen.app,26.94636273,26,0.197429895,3,3,0,0.223730564,0,5,1.432715654,0,[],0,[],0
air.de.rgerlach.doppelkopfpalast,75.03302789,29,0.594035625,19,15,4,1.462656975,1,10,28.20725822,0,[],0,[],0
air.gd.sos.mcpixellite,2.017122746,4,0.0049963,0,0,0,0.035179138,0,1,0.855256796,0,[],0,[],0
air.Hidecat,2.017315626,2,0,0,0,0,0,0,1,0.091784477,0,[],0,[],0
air.ismartapp.SeamSi4,1.0461483,4,0,0,0,0,0,0,1,0.080702782,0,[],0,[],0
air.KNA.SCIP1,1.266704559,1,0,0,0,0,0,0,1,0.090829611,0,[],0,[],0
air.LearnColorsNamesEnglish,18.84561896,4,0.034970999,0,0,0,0.061107874,0,1,0.134412289,0,[],0,[],0
air.LearnEnglishAlphabet,21.56995344,4,0.055905104,0,0,0,0.130708933,0,1,0.215687752,0,[],0,[],0
air.manderley.bio3,2.807459593,1,0,0,0,0,0,0,1,0.213046789,0,[],0,[],0
air.Mistermind2Lite,31.22732353,3,0.025192976,0,0,0,0.07635808,0,1,0.480303764,0,[],0,[],0
air.net.chicworld.babygirldailycaring,72.93211508,4,0.096773624,0,0,0,0.133210897,0,2,0.719233036,0,[],0,[],0
air.net.chicworld.cutebearcaring,61.56489849,4,0.090935946,0,0,0,0.127375126,0,2,0.409874678,0,[],0,[],0
air.net.chicworld.fruitchocolatecakecooking,66.91843605,4,0.095343828,0,0,0,0.13343668,0,2,0.356418133,0,[],0,[],0
air.net.chicworld.simbathepuppydailycaring,77.65199661,4,0.102501631,0,0,0,0.139668465,0,2,0.635877371,0,[],0,[],0
air.net.chicworld.sweetrainbowkittycookies,60.73530269,4,0.092679262,0,0,0,0.126532793,0,2,0.350977182,0,[],0,[],0
air.net.roseverte.htfalk.en,29.35483027,8,0.07649374,4,4,0,0.245104074,0,1,0.239439726,0,[],0,[],0
air.ResistorColourCodes,0.216385603,0,0,0,0,0,0,0,1,0.142257929,0,[],0,[],0
air.ru.sever.ElectricalEngineering,74.84370375,9,0.327074766,7,6,1,0.437034607,1,1,0.442747831,0,[],0,[],0
air.schooltwo,46.50695753,4,0.074738979,0,0,0,0.125968695,0,1,0.24616766,0,[],0,[],0
air.SeamC,0.255819321,1,0,0,0,0,0,0,1,0.139401197,0,[],0,[],0
air.TTNG.EscapeGameA54,111.5368483,7,0.305435896,7,6,1,3.607172012,0,1,0.631825686,0,[],0,[],0
air.ynfo.mediatore,147.2620933,11,0.563067198,19,11,8,2.873156071,1,3,0.592046261,0,[],0,[],0
alauxsoft.comptesbudget,105.5010929,5,0.116951227,0,0,0,0.095891237,0,5,0.715557814,0,[],0,[],0
alauxsoft.comptesbudget60A32957029E77F5FCA0CB53E16211A12B51192C,102.4854715,4,0.091658831,0,0,0,0.090940237,0,5,0.735937357,0,[],0,[],0
alauxsoft.comptesbudget9FAB2701AEDE086D27323F058A07E10337CC55FE,100.4519334,4,0.088996172,0,0,0,0.091983318,0,5,0.690171719,0,[],0,[],0
allone.verbank.apad.client,0.595367193,13,0,0,0,0,0.020356655,0,3,0.998711824,0,[],0,[],0
alpvir.webcamalpvir,15.01581073,9,0.050390244,0,0,0,0.005021811,0,1,0.070996284,0,[],0,[],0
alpvir.webcamalpvir1C7590B5E190011C60A9C26345C924A6AD8797B6,12.33036757,9,0.050845385,0,0,0,0,0,1,0.065502167,0,[],0,[],0
alpvir.webcamalpvir36F8DDE667233E7662BB1E1862E9BD5BA3A39CA0,13.73177123,9,0.050293207,0,0,0,0,0,1,0.064803123,0,[],0,[],0
alpvir.webcamalpvirC318345823C3BDF408F02341D351E817B857820D,13.52416515,9,0.055057526,0,0,0,0,0,1,0.055548191,0,[],0,[],0
anywheresoftware.b4a.b4abridge,25.88257265,10,0.049975872,0,0,0,0.038872719,0,1,0.071665764,0,[],0,[],0
anywheresoftware.b4a.b4abridge8842FDA3E54E2D3BEE40B8B1C13DFD88AD00E4B1,19.3202107,10,0.035548687,0,0,0,0.030979395,0,1,0.050465822,0,[],0,[],0
app.bankmuscat.mercnt.wallet.and,26.37410712,39,0.292236328,9,6,3,11.72169805,1,3,0.568519831,0,[],0,[],0
app.uk.co.incase.aequitas,151.5203197,18,0.837899446,62,54,8,4.017595768,3,8,0.762933016,0,[],0,[],0
app.uk.co.incase.poolealcock,160.0044296,19,0.888859034,62,54,8,3.250965118,2,8,0.99461937,0,[],0,[],0
app.uk.co.incase.riaabarker,162.4380829,19,0.875100851,62,54,8,3.386497498,2,8,0.995067358,0,[],0,[],0
app.uk.co.incase.tayntons,368.5320327,18,2.268920898,62,54,8,8.497507334,3,8,1.578890324,0,[],0,[],0
appinventor.ai_angelovaldora.SegnaliFS,20.44463658,3,0.029901266,0,0,0,9.029770136,0,7,0.853927374,0,[],0,[],0
appinventor.ai_aphroditeskiathos.AphroditeStudiosSkiathos,18.57558203,2,0.020089626,1,0,1,0.041554689,0,1,0.040851116,0,[],0,[],0
appinventor.ai_arco0474.Lecturas_de_la_Misa,21.03670001,2,0.018936396,1,0,1,0.042635441,0,1,0.04045558,0,[],0,[],0
appinventor.ai_arco0474.Lecturas_de_la_Misa6FA6E3B665D68B3F9AD87D1E1D2D5F67F988DB67,19.20209956,2,0.024425983,1,0,1,0.050141335,0,1,0.043054342,0,[],0,[],0
appinventor.ai_arco0474.Lecturas_de_la_Misa9BC59AB0CF213DE19E3E9E57C7E182254E77558F,22.86089063,2,0.030907631,1,0,1,0.059330702,0,1,0.051029921,0,[],0,[],0
appinventor.ai_blinkeado.InformaticasaudeMEWS,20.05355716,2,0.018921852,0,0,0,0.412775993,0,2,0.08858037,0,[],0,[],0
appinventor.ai_bulat_manasse.IGABC,18.90965939,1,0.008970976,0,0,0,0.023606777,0,1,0.044850826,0,[],0,[],0
appinventor.ai_cperezn.LoteriaCampechana,22.2654779,4,0.042361498,0,0,0,19.50896001,0,7,0.327373981,0,[],0,[],0
appinventor.ai_enrico_appy.VerzugsZinsen,21.38088489,9,0.090190649,0,0,0,3.707985878,0,3,0.173107386,0,[],0,[],0
appinventor.ai_hbasiliadis.loveat,18.67907381,1,0.008974075,0,0,0,0.025835037,0,1,0.038550377,0,[],0,[],0
appinventor.ai_heidar_mueller.Woerterbuch_Deutsch_Taiwanisch,24.93806195,5,0.06030488,1,0,1,1.478988409,0,6,0.249540806,0,[],0,[],0
appinventor.ai_ianlochhead1994.Family_Cycle_Routes,21.00580931,2,0.020849466,0,0,0,0.021927357,0,1,0.046719074,0,[],0,[],0
appinventor.ai_informatika_niai.FovarosKalauz,22.01167583,6,0.061380863,0,0,0,9.920347929,0,13,0.632637024,0,[],0,[],0
appinventor.ai_izzybella419.MorseCodeTrainer10WPM,22.60989046,1,0.009965897,1,0,1,16.24361706,0,5,0.256173611,0,[],0,[],0
appinventor.ai_JanCeesVenema.SurfacePressureMaps,19.10336924,2,0.019932747,0,0,0,1.20551753,0,6,0.256643057,0,[],0,[],0
appinventor.ai_jorgeguimaraesnet.ccsantosferreira,20.6095953,2,0.017939568,0,0,0,0.585340738,0,6,0.246471643,0,[],0,[],0
appinventor.ai_kayipkayik.Maps,51.76652956,15,0.293488979,0,0,0,14.76652646,0,1,0.371731758,0,[],0,[],0
appinventor.ai_kayipkayik.Maps68871B6083E4D97F9ECE75D8BB20BA06ED924007,55.67679977,15,0.297842979,0,0,0,23.48535156,0,1,0.045352459,0,[],0,[],0
appinventor.ai_kayipkayik.MapsCE61E821C948A37A1B7A79A9985B327D4B9C182D,55.61858344,15,0.301116705,0,0,0,20.51638842,0,1,0.062186241,0,[],0,[],0
appinventor.ai_lunarmagik.Aleena,26.87869048,2,0.019984961,0,0,0,0.188625336,0,3,0.149317265,0,[],0,[],0
appinventor.ai_malote1971.DibbukBox,68.36826062,9,0.243153572,2,1,1,1.227324963,1,2,0.086690187,0,[],0,[],0
appinventor.ai_malote1971.DibbukBox6A0F1F6B99BD703F3CD0CBC19D1C66088F7AC7E7,22.95590496,12,0.137227535,0,0,0,0.034962654,0,1,0.05757761,0,[],0,[],0
appinventor.ai_malote1971.ITC_Box_2,30.00972986,13,0.157910347,0,0,0,0.040941954,0,1,0.046523809,0,[],0,[],0
appinventor.ai_malote1971.SpainParanormalKII,25.05721354,11,0.129071712,0,0,0,0.035090208,0,1,0.047178984,0,[],0,[],0
appinventor.ai_malote1971.SPGBRadioHack,66.94120026,9,0.240745783,2,1,1,0.76580739,1,2,0.08362484,0,[],0,[],0
appinventor.ai_malote1971.SPSB2_FemmeForce,28.00301266,12,0.148332834,0,0,0,0.036885023,0,1,0.049445391,0,[],0,[],0
appinventor.ai_malote1971.SPSB2_FemmeForceA53D7147EAD1B8F2B4EDD04DDDC48D4739230D7B,28.40359235,12,0.142706871,0,0,0,0.0374825,0,1,0.043170691,0,[],0,[],0
appinventor.ai_matsonjl.DeflectionMeter,23.084131,7,0.070479155,1,0,1,7.381659985,0,3,0.170537949,0,[],0,[],0
appinventor.ai_mauriciogz.AlturaRio,10.74926758,3,0.008553743,0,0,0,0.00100112,0,1,0.044032097,0,[],0,[],0
appinventor.ai_moriconi_paolo.LuccaCentro,21.62143207,2,0.021933317,0,0,0,5.548995018,0,15,0.632675886,0,[],0,[],0
appinventor.ai_moro1474.EDUTEC_PITALITO_MOVIL,21.00365448,3,0.031614542,0,0,0,1.796601057,0,8,0.357548714,0,[],0,[],0
appinventor.ai_mssrnick.JAMALSHAKER,62.99296951,7,0.117497921,0,0,0,0.907207489,0,4,0.175499678,0,[],0,[],0
appinventor.ai_pasquale_cardillo.dove,19.93566489,6,0.075988531,0,0,0,0.035295486,0,1,0.04883647,0,[],0,[],0
appinventor.ai_pasquale_cardillo.dove3CEB68B7CC95B26A442ADCB70F19A147FDEDF8F6,32.37384152,7,0.080820799,2,0,2,1.565278769,0,2,0.106858492,0,[],0,[],0
appinventor.ai_pasquale_cardillo.dove9708AD2B7C613996B97F1AFE8F15EAAA58173388,20.04399371,6,0.057984352,0,0,0,0.022779703,0,1,0.043179989,0,[],0,[],0
appinventor.ai_spainparanormal.BipsBCN,23.5443759,12,0.143557072,0,0,0,0.120365858,0,2,0.09039259,0,[],0,[],0
appinventor.ai_taifunbaer.bluetooth,20.68105078,8,0.076664686,1,0,1,0.041261911,0,1,0.046580553,0,[],0,[],0
appinventor.ai_varjotaemdestaque.RadioVarjotaForroDasAntigas,19.51932383,3,0.030665159,0,0,0,4.10549593,0,2,0.113515377,0,[],0,[],0
apprends.chiffres.lettres,0.839223146,0,0,0,0,0,0,0,1,0.043284416,0,[],0,[],0
ar.com.cohen.app,48.57660103,10,0.18159914,32,14,18,1.192132235,0,2,0.940183163,0,[],0,[],0
ar.com.ib.otp.ost.prod,3.869205952,1,0.001108408,2,2,0,0.136935472,0,1,0.126237869,0,[],0,[],0
astroelite.jmaster.free,13.09345245,4,0.013429403,2,2,0,0.037065268,0,1,0.052524567,0,[],0,[],0
astroelite.jmaster.free67C83F6C8A80618F28FE2AD70EE97BEB9249852B,10.07687569,4,0.009967566,2,2,0,0.023525238,0,1,0.059364319,0,[],0,[],0
at.asfinag.unterwegs4C1501D910D31369E9EA33794D868DF01CCF15D1,30.61269498,12,0.100174427,3,3,0,0.108119011,0,4,0.85050869,0,[],0,[],0
at.asfinag.unterwegs4FA8EB1D8B5069854A2EC82C08E5FF338C9D1B27,32.01116514,12,0.100662947,3,3,0,0.102755308,0,4,0.492446423,0,[],0,[],0
at.rsg.poso,44.55630445,18,0.276183844,73,51,22,5.334555864,4,10,0.59664917,0,[],0,[],0
au.com.angryrobot.wikicampsca,26.05568266,12,0.077510118,2,2,0,0.090433598,1,2,0.099755526,0,[],0,[],0
au.com.angryrobot.wikicampsca8B2455186E73B152DF5224E0D45CF55F7681A5C9,28.34704924,12,0.077539682,2,2,0,0.075836182,1,2,0.09434247,0,[],0,[],0
au.com.bws,89.32836366,29,0.810871601,40,34,6,10.01715231,3,6,0.304082632,0,[],0,[],0
au.com.catholiccemeteries.android,27.68957996,9,0.080619097,7,7,0,0.211397648,1,2,0.140054941,0,[],0,[],0
au.com.discoveryholidayparks.gdayparks,57.1152637,7,0.096328735,7,7,0,0.580145597,0,3,0.152886868,0,[],0,[],0
au.com.fortix.fortixforms,15.12219191,16,0.056464434,6,6,0,0.270820856,1,8,0.490783453,0,[],0,[],0
au.com.horsemovementv2,24.30275798,7,0.035368443,3,2,1,0.072482109,0,1,0.045698166,0,[],0,[],0
au.com.meandu.orderapp,61.44983721,9,0.163299799,5,4,1,0.384185791,1,6,1.47748518,0,[],0,[],0
au.com.silverservice,70.20238519,22,0.59258008,126,107,19,6.122668266,5,5,0.249343872,0,[],0,[],0
auvo.app,24.81564975,33,0.166338921,0,0,0,0.098244429,0,2,0.120619774,0,[],0,[],0
auvo.app607C20949A99452CBB62125253411F1AA7660762,24.44936943,33,0.168926716,0,0,0,0.099480867,0,1,0.055039644,0,[],0,[],0
aweber.phandroid,0.299585819,0,0,0,0,0,0,0,1,0.051095724,0,[],0,[],0
b4a.af.treebase,25.38833833,20,0.174986124,2,2,0,0.047838926,0,2,0.098627806,0,[],0,[],0
b4a.af.treebase8D5BDEA4949A24A2D8B1B523FB6DAC7549DC6F4D,36.80940938,20,0.268973351,2,2,0,0.051388025,0,7,0.349620581,0,[],0,[],0
b4a.af.treebaseBBE219AB5AE86EDCE0E1204A3CDB092DFBF84B04,41.07698321,22,0.305315495,2,2,0,0.050166607,0,10,0.494616747,0,[],0,[],0
b4a.All_T,6.423450947,6,0.014195442,0,0,0,0,0,1,0.093749762,0,[],0,[],0
b4a.All_T6399E8DB95B9BB349FB099464C3C953EE8E6EDE4,12.48719954,6,0.012957811,0,0,0,0,0,1,0.054046392,0,[],0,[],0
b4a.All_TE9BE39635AF6407BF6BF9EC13C1B6DE49FD65BFA,7.91353178,6,0.012868643,0,0,0,0,0,1,0.05647254,0,[],0,[],0
b4a.bbb,7.063307762,5,0.011880636,0,0,0,0,0,1,0.042816401,0,[],0,[],0
b4a.bbb668E306C0E6B28FC73F2E3378D7D974577648F44,7.332206964,5,0.012034893,0,0,0,0,0,1,0.04676652,0,[],0,[],0
b4a.bbb9487CAC8B5BB6B9FC9175FF91231E831F6C0E93F,7.273290634,5,0.011951923,0,0,0,0,0,1,0.04370904,0,[],0,[],0
b4a.bbb95BCE04D78943326E8607CC51CE1BCC3993B74BA,6.805983305,5,0.012327194,0,0,0,0,0,1,0.042821884,0,[],0,[],0
b4a.bbbB01B4BF45832A25BE861D8903BA5420681FDC5BF,6.764292002,5,0.012409925,0,0,0,0,0,1,0.045862436,0,[],0,[],0
b4a.bbbD7776A5005ABA07B8C6EF28DB86E99C256C03811,6.723797798,5,0.011973381,0,0,0,0.000996828,0,1,0.076002121,0,[],0,[],0
b4a.bbbE2A5126E423B5C417D016EDEEA6ADB1E39224557,7.213928223,5,0.012343884,0,0,0,0,0,1,0.042779207,0,[],0,[],0
b4a.CasPhoneGPS,9.231290102,12,0.031863689,0,0,0,0.00099659,0,1,0.042937279,0,[],0,[],0
b4a.CasPhoneGPSFCBA02E6E11BCAD6A47F0FB197D1F4F2BCA07C60,8.876531839,12,0.031135082,0,0,0,0,0,1,0.049820662,0,[],0,[],0
b4a.forteza.ru.zub,7.887847662,5,0.012969732,0,0,0,0,0,1,0.043763399,0,[],0,[],0
b4a.IDPhone,7.890270233,7,0.017952204,0,0,0,0.027978659,0,1,0.044284582,0,[],0,[],0
b4a.manee,8.308492899,7,0.019129276,0,0,0,0.026123524,0,1,0.040077686,0,[],0,[],0
b4a.mayacal,7.778908968,7,0.018936157,0,0,0,0,0,5,0.217891693,0,[],0,[],0
b4a.mayacal7576E58174EBE8C65EF4309F683C201DB4D0BD94,10.27943087,6,0.018030882,0,0,0,0,0,5,0.214306831,0,[],0,[],0
b4a.mayacalA8BE4E6119B359903DAEFC0B35D5BCBD7081E635,8.557776213,7,0.017950296,0,0,0,0.000985622,0,5,0.239917755,0,[],0,[],0
b4a.mayacalD9E0103BA8229BE2A982905D2C586B266892E003,7.390834332,7,0.017558098,0,0,0,0.001003027,0,5,0.217161179,0,[],0,[],0
b4a.mayacalEFAEA2A0BD47EE14DF617626D65FE4C8386A8E6C,8.070019484,7,0.019105673,0,0,0,0,0,5,0.242922068,0,[],0,[],0
b4a.socketnet,8.256100178,7,0.01794672,0,0,0,0.027469158,0,1,0.048069477,0,[],0,[],0
b4a.socketnetAB00E1430F28B57AD8FEC3C406B66FDB83D82FDA,7.737935066,7,0.017940998,0,0,0,0.025914907,0,1,0.042621374,0,[],0,[],0
b4a.socketnetE7D8D093812AE1DF470C9C906BB7A65CF677227E,8.28488183,7,0.019523382,0,0,0,0.025913239,0,1,0.050969839,0,[],0,[],0
bantorad.RainMaker,6.976134777,3,0.005979538,0,0,0,0.000996828,0,1,0.048812628,0,[],0,[],0
barcodegenerator.barcodecreator.barcodemaker.barcodescanner,66.32601309,18,0.52812171,28,23,5,3.135397911,0,2,0.098933935,0,[],0,[],0
barnasoba.luckynumbers,25.09089732,7,0.043723822,2,2,0,0.097623348,0,1,0.044977427,0,[],0,[],0
be.aginsurance.hcapp,36.17547679,13,0.102915287,2,2,0,0.074255228,1,3,0.14498353,0,[],0,[],0
be.bpost.mobilecard,28.41915345,29,0.334985495,4,4,0,0.30437088,1,9,0.553868771,0,[],0,[],0
be.bpost.mobilecard959B1CB00B984915BE8B339CEEE9248745791534,28.08681297,29,0.335139751,4,4,0,0.30739212,1,9,0.473452568,0,[],0,[],0
be.jumik.proplanner.ssa.vandamme,98.20821548,22,0.614778996,13,12,1,0.476747274,0,6,0.334904432,0,[],0,[],0
be.nexuzhealth.mobile.mynexuz,58.65651345,25,0.541806459,29,26,3,2.759507895,12,6,0.35311985,0,[],0,[],0
be.panos.loyaltyapp,49.98765135,12,0.163110256,11,11,0,0.325441122,1,11,0.609285116,0,[],0,[],0
be.softn.softnandroid,17.15436888,7,0.03308773,0,0,0,0.013593912,0,1,0.053844213,0,[],0,[],0
beheerwerken.natuurpunt.be,25.76229572,7,0.030977011,2,2,0,0.049963236,1,1,0.054785013,0,[],0,[],0
biz.codespark.xcalendarapp,34.54960585,9,0.071527481,6,5,1,0.145573378,0,5,0.283801794,0,[],0,[],0
biz.logismic.taxisapp,37.4417088,12,0.146168232,7,6,1,0.177025318,0,5,0.261625051,0,[],0,[],0
bowtieneck.euromillionschecker,30.2812891,7,0.069615126,2,2,0,0.053820372,1,3,0.251899481,0,[],0,[],0
br.com.aplicativosejogos.natalzap,51.94020796,10,0.159926891,7,6,1,0.171205282,0,3,0.163026094,0,[],0,[],0
br.com.aplicativosejogos.textosdeamor,60.92374182,12,0.220074177,7,6,1,0.180092812,0,3,0.153340578,0,[],0,[],0
br.com.aplicativosejogos.textosdeamorA1DD4451446A7F2D55C358A80C410FEB1AFA8BD2,62.31659985,9,0.192315578,6,6,0,0.206959486,0,4,0.192698717,0,[],0,[],0
br.com.aplicativoslegais.oracoespoderosas,65.53453279,11,0.196568251,7,6,1,0.192304611,0,4,0.206444979,0,[],0,[],0
br.com.aplicativoslegais.oracoespoderosasDACBD274564C4C8DDFB9AC79D3643C0429F7A67B,74.00111008,14,0.259325266,7,6,1,0.178370476,0,3,0.147865772,0,[],0,[],0
br.com.as2.cadastroalunos,74.00783563,15,0.314148903,6,6,0,0.198801279,0,4,0.276678085,0,[],0,[],0
